Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks/82,TOI/G,S%,Plus/Minus/82,Hits/82,G/82,A/82,P/82
2,C,25,1350000,paul,0.017,2019-2020,65.6,10.54285714,12.88571429,23.42857143,0.357142857,57.10714286,14.45,0.0874,0,178.6428571,13.17857143,16.10714286,29.28571429
2,C,25,1700000,Lindberg,0.023,2016-2017,65,8,12,20,0.307692308,45.41538462,10.83333333,0.093,2.523076923,118.5846154,10.09230769,15.13846154,25.23076923
2,C,25,1000000,Verhaege,0.012,2019-2020,60.91428571,10.54285714,4.685714286,15.22857143,0.25,12.61538462,9.366666667,0.158,-14.19230769,45.73076923,14.19230769,6.307692308,20.5
2,C,25,750000,Lafferty,0.009,2019-2020,58.57142857,7.028571429,8.2,15.22857143,0.26,27.88,9.616666667,0.107,8.2,155.8,9.84,11.48,21.32
2,C,25,1000000,Paquette,0.013,2017-2018,56,5,4,9,0.160714286,46.85714286,10.2,0.078,-7.321428571,164,7.321428571,5.857142857,13.17857143
2,C,25,800000,Lazar,0.01,2019-2020,44.51428571,5.857142857,5.857142857,11.71428571,0.263157895,51.78947368,11.83333333,0.152,-6.473684211,151.0526316,10.78947368,10.78947368,21.57894737
2,C,25,1225000,Motte,0.015,2019-2020,39.82857143,4.685714286,4.685714286,9.371428571,0.235294118,89.23529412,13.11666667,0.105,-24.11764706,284.5882353,9.647058824,9.647058824,19.29411765
2,C,26,3500000,Tierny,0.043,2019-2020,82,12.70422535,30.02816901,42.73239437,0.521126761,43.34285714,17.18333333,0.1078,-7.028571429,51.54285714,12.70422535,30.02816901,42.73239437
2,C,26,1400000,Weal,0.018,2018-2019,63,8,13,21,0.333333333,33.84126984,13.46666667,0.1067,-10.41269841,36.44444444,10.41269841,16.92063492,27.33333333
2,C,26,750000,Kellman,0.009,2019-2020,36.31428571,3.514285714,4.685714286,8.2,0.225806452,47.61290323,11.58333333,0.097,-2.64516129,74.06451613,7.935483871,10.58064516,18.51612903
3,C,22,6833333,Point,0.083,2018-2019,79,41,51,92,1.164556962,44.63291139,18.91666667,0.2147,28.02531646,32.17721519,42.55696203,52.93670886,95.49367089
3,C,22,2000000,Karlsson,0.027,2016-2017,67,11,11,22,0.328358209,72.20895522,12.8,0.151,8.567164179,82,13.46268657,13.46268657,26.92537313
3,C,22,2250000,Zacha,0.028,2018-2019,61,13,12,25,0.409836066,32.26229508,16.08333333,0.1313,-8.06557377,91.40983607,17.47540984,16.13114754,33.60655738
3,C,22,1400000,Tage Thompson,0.017,2019-2020,1.171428571,0,0,0,0,0,6.983333333,0,0,164,0,0,0
3,C,23,4800000,Cirelli,0.059,2019-2020,79.65714286,18.74285714,32.8,51.54285714,0.647058824,56.67647059,18.46666667,0.142,33.76470588,107.3235294,19.29411765,33.76470588,53.05882353
3,C,25,1275000,Kuraly,0.016,2017-2018,75,6,8,14,0.186666667,39.36,16.43333333,0.099,-5.466666667,100.5866667,6.56,8.746666667,15.30666667
3,C,25,3083333,Danault,0.039,2017-2018,52,8,17,25,0.480769231,59.92307692,16.58333333,0.085,0,93.03846154,12.61538462,26.80769231,39.42307692
3,C,26,2200000,Girgensuns,0.027,2019-2020,80.82857143,14.05714286,8.2,22.25714286,0.275362319,23.76811594,13.8,0.1412,-1.188405797,130.7246377,14.26086957,8.31884058,22.57971014
3,C,26,1800000,Colemn,0.023,2017-2018,79,13,12,25,0.316455696,59.16455696,14.4,0.089,7.265822785,224.2025316,13.49367089,12.4556962,25.94936709
