Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Plus/Minus/82,S%,TOI/G,Blocks/82,Hits/82,G/82,A/82,P/82
1,LW,28,735000,Sheary,0.90%,2019-2020,73.8,11.71428571,15.22857143,26.94285714,0.365079365,-6.507936508,9.80%,13.1,33.84126984,36.44444444,13.01587302,16.92063492,29.93650794
11,LW,29,3954545,Franzen,6.97%,2008-2009,71,34,25,59,0.830985915,24.25352113,13.80%,18.1,25.4084507,103.943662,39.26760563,28.87323944,68.14084507
5,LW,29,4650000,MacArthur,6.74%,2013-2014,79,24,31,55,0.696202532,12.4556962,15.10%,17.63333333,20.75949367,112.1012658,24.91139241,32.17721519,57.08860759
3,LW,29,3500000,Sobotka,4.79%,2013-2014,61,9,24,33,0.540983607,18.81967213,8.80%,16.75,37.63934426,147.8688525,12.09836066,32.26229508,44.36065574
3,LW,29,2400000,Comeau,3%,2017-2018,79,13,21,34,0.430379747,5.189873418,10.60%,15.86666667,39.44303797,150.5063291,13.49367089,21.79746835,35.29113924
5,LW,29,7000000,JVR,8.80%,2017-2018,81,36,18,54,0.666666667,1.012345679,14.50%,14.9,23.28395062,40.49382716,36.44444444,18.22222222,54.66666667
4,LW,29,7000000,Pacioretty,8.80%,2017-2018,64,17,20,37,0.578125,-20.5,8%,19.01666667,34.59375,151.1875,21.78125,25.625,47.40625
7,LW,30,5500000,Ladd,7.50%,2015-2016,78,25,21,46,0.58974359,-13.66666667,13.80%,18.91666667,44.15384615,162.9487179,26.28205128,22.07692308,48.35897436
3,LW,30,3250000,Cogliano,4.30%,2016-2017,82,16,19,35,0.426829268,11,9%,15.13333333,27,76,16,19,35
5,LW,30,5750000,Neal,7.20%,2017-2018,71,25,19,44,0.61971831,-12.70422535,12.40%,17.18333333,34.64788732,50.81690141,28.87323944,21.94366197,50.81690141
4,LW,30,4000000,Perron,5%,2017-2018,70,16,50,66,0.942857143,1.171428571,12.80%,17.81666667,23.42857143,138.2285714,18.74285714,58.57142857,77.31428571
2,LW,30,1600000,Raffl,2%,2018-2019,67,6,12,18,0.268656716,-1.223880597,9.20%,11.41666667,35.49253731,117.4925373,7.343283582,14.68656716,22.02985075
4,LW,30,2750000,Hagelin,3.50%,2018-2019,58,5,14,19,0.327586207,9.896551724,5.10%,14.73333333,28.27586207,90.48275862,7.068965517,19.79310345,26.86206897
3,LW,30,1500000,Grant,1.80%,2019-2020,65.6,17.57142857,11.71428571,29.28571429,0.446428571,1.464285714,16%,13.91666667,36.60714286,79.07142857,21.96428571,14.64285714,36.60714286
3,LW,31,5000000,Dadonov,6.10%,2019-2020,80.82857143,29.28571429,25.77142857,55.05714286,0.68115942,-8.31884058,15%,17.1,28.52173913,34.46376812,29.71014493,26.14492754,55.85507246
4,LW,32,5750000,Steen,7.90%,2015-2016,67,17,35,52,0.776119403,3.671641791,9.90%,20.36666667,42.8358209,61.19402985,20.80597015,42.8358209,63.64179104
2,LW,32,900000,Maroon,1.10%,2019-2020,74.97142857,10.54285714,16.4,26.94285714,0.359375,5.125,11.30%,12.41666667,16.65625,133.25,11.53125,17.9375,29.46875
2,LW,33,1800000,Bellemare,2.20%,2018-2019,76,6,9,15,0.197368421,2.157894737,5.60%,12.43333333,55.02631579,76.60526316,6.473684211,9.710526316,16.18421053
1,LW,34,750000,McLeod,0.94%,2017-2018,48,1,3,4,0.083333333,-18.79166667,2.80%,7.383333333,32.45833333,223.7916667,1.708333333,5.125,6.833333333
1,LW,40,700000,Marleau,0.90%,2019-2020,77.31428571,12.88571429,12.88571429,25.77142857,0.333333333,-6.212121212,9.40%,15.58333333,29.81818182,70.81818182,13.66666667,13.66666667,27.33333333
