Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks,TOI/G,S%,Plus/Minus,Hits,Blocks/82,Plus/minus/82,Hits/82,G/82,A/82,P/82
2,D,24,725000,Middleton,0.90%,2019-2020,11.71428571,0,2.342857143,2.342857143,0.2,5,10.76666667,0%,-2,18,41,-16.4,147.6,0,16.4,16.4
8,D,25,9000000,Subban,13%,2013-2014,82,10,43,53,0.646341463,125,24.61666667,4.90%,-4,135,125,-4,135,10,43,53
6,D,25,3750000,Ekholm,5.30%,2014-2015,80,7,11,18,0.225,102,19.01666667,8.10%,12,57,104.55,12.3,58.425,7.175,11.275,18.45
4,D,25,4875000,Vatanen,6.83%,2015-2016,71,9,29,38,0.535211268,105,21.31666667,6.40%,8,85,121.2676056,9.23943662,98.16901408,10.3943662,33.49295775,43.88732394
8,D,25,7875000,Hedman,10.80%,2015-2016,78,10,37,47,0.602564103,132,24.5,9.60%,21,93,138.7692308,22.07692308,97.76923077,10.51282051,38.8974359,49.41025641
8,D,25,6500000,Fowler,8.70%,2016-2017,80,11,28,39,0.4875,134,24.85,5.90%,7,29,137.35,7.175,29.725,11.275,28.7,39.975
4,D,25,4100000,Manson,5.50%,2016-2017,82,5,12,17,0.207317073,99,24.00085,6%,14,180,99,14,180,5,12,17
5,D,25,1450000,Mayfield,1.90%,2016-2017,25,2,7,9,0.36,36,14.13333333,5.10%,-1,37,118.08,-3.28,121.36,6.56,22.96,29.52
7,D,25,4500000,Zaitsev,6.20%,2016-2017,82,4,32,36,0.43902439,136,22.01666667,3.80%,-22,176,136,-22,176,4,32,36
6,D,25,4100000,Doumolin,5.50%,2016-2017,70,1,14,15,0.214285714,99,20.55,1.30%,0,113,115.9714286,0,132.3714286,1.171428571,16.4,17.57142857
6,D,25,5100000,Orlov,6.80%,2016-2017,82,6,27,33,0.402439024,94,19.7,4.80%,30,122,94,30,122,6,27,33
4,D,25,3875000,Miller,4.90%,2017-2018,82,10,31,41,0.5,165,21.76666667,5.60%,-4,135,165,-4,135,10,31,41
3,D,25,725000,Seeler,0.90%,2017-2018,22,0,4,4,0.181818182,12,13.53333333,0%,10,14,44.72727273,37.27272727,52.18181818,0,14.90909091,14.90909091
3,D,25,2137500,Oleksiak,2.70%,2017-2018,68,5,12,17,0.25,76,16.66666667,6.20%,7,174,91.64705882,8.441176471,209.8235294,6.029411765,14.47058824,20.5
3,D,25,775000,Poolman,1%,2017-2018,24,1,1,2,0.083333333,18,12.56666667,3.70%,2,20,61.5,6.833333333,68.33333333,3.416666667,3.416666667,6.833333333
2,D,25,2850000,Mccabe,3.50%,2018-2019,66,3,10,13,0.196969697,99,18.53333333,4%,-11,103,123,-13.66666667,127.969697,3.727272727,12.42424242,16.15151515
2,D,25,5600000,Nurse,6.90%,2018-2019,82,10,31,41,0.5,146,23.25,5.10%,-5,162,146,-5,162,10,31,41
3,D,25,1850000,Kulak,2.30%,2018-2019,57,6,11,17,0.298245614,64,17.85,5.90%,12,107,92.07017544,17.26315789,153.9298246,8.631578947,15.8245614,24.45614035
2,D,25,4600000,Murray,5.60%,2018-2019,56,1,28,29,0.517857143,93,21.43333333,1.40%,20,17,136.1785714,29.28571429,24.89285714,1.464285714,41,42.46428571
2,D,25,1500000,Carrick,1.80%,2018-2019,34,2,9,11,0.323529412,37,16.8,4.80%,-13,25,89.23529412,-31.35294118,60.29411765,4.823529412,21.70588235,26.52941176
7,D,25,8000000,Trouba,9.80%,2018-2019,82,8,42,50,0.609756098,171,22.88333333,4.90%,8,112,171,8,112,8,42,50
2,D,25,1500000,Reilly,1.80%,2018-2019,57,3,8,11,0.192982456,53,18.68333333,3%,0,48,76.24561404,0,69.05263158,4.315789474,11.50877193,15.8245614
1,D,25,1000000,Djoos,1.20%,2019-2020,10.54285714,1.171428571,2.342857143,3.514285714,0.333333333,12,19.1,8.30%,2,2,109.3333333,18.22222222,18.22222222,9.111111111,18.22222222,27.33333333
1,D,25,925000,Koekkoek,1%,2019-2020,49.2,1.171428571,10.54285714,11.71428571,0.238095238,58,16.75,2.10%,3,64,113.2380952,5.857142857,124.952381,1.952380952,17.57142857,19.52380952
